store,city,region,province,size,revenue,units,cost,gross_profit,promo_units,energy_units,regularBars_units,gum_units,bagpegCandy_units,isotonics_units,singleServePotato_units,takeHomePotato_units,kingBars_units,flatWater_units,psd591Ml_units
92579,NORTH VANCOUVER,WEST,BC,948,7210.76,3099.81,4439.82,2770.94,893.04,422.73,199.79,101.37,84.88,233.44,136.02,54.31,117.54,353.42,97.17
92580,VANCOUVER,WEST,BC,614,2018.95,939.65,1224.43,794.52,358.67,116.04,88.87,51.44,17.27,59.52,32.19,13.96,40.79,117.25,37.58
92583,VANCOUVER,WEST,BC,614,1940.79,875.77,1167.63,773.17,272.02,105.54,70.56,51.25,23.98,65.9,29.92,14.63,24.42,116.15,26.04
92586,VANCOUVER,WEST,BC,379,608.04,295.62,361.08,246.96,110.25,33.27,27.42,21.75,0.9,20.06,9.87,3.6,17,52.38,10.69
92589,PRINCETON,WEST,BC,904,5182.48,2323.46,3180.24,2002.24,1088.19,313,209.67,75.35,58.54,165.65,97.6,36.06,84.77,255.46,105.79
92591,BURNABY,WEST,BC,872,3954.78,1748.5,2426.27,1528.51,617.29,324.25,121.67,84.77,46.94,117.81,63.06,24.6,45.35,183.83,50.17
94285,UNKNOWN,QUEBEC,UNKNOWN,343,1121.61,534.63,678.85,442.75,168.93,90.44,43,40.19,0.74,34.22,22.07,3.15,32.93,49,18
95198,SOOKE,WEST,BC,707,2910.59,1305.92,1777.54,1133.05,401.46,151.17,122.63,51.46,51.12,85.21,46.25,30.15,74.52,110.79,43.27
95342,MAPLE RIDGE,WEST,BC,711,1786.36,789.38,1088.62,697.74,352.19,130.87,70.83,46.5,22.69,52.69,19.02,14.58,22.52,73.54,32.15
95849,VANCOUVER,WEST,BC,444,1497.23,703.52,902.25,594.97,256.42,81.98,66.71,29.29,18.42,72.29,24.83,7.6,26.6,86.15,24.88
97250,WINNIPEG,WEST,MB,723,2093.18,928.54,1325.07,768.11,438.96,113.96,72.38,38.17,31.48,68.37,30,27.44,38.67,93.1,59.35
98788,VANCOUVER,WEST,BC,885,3753.52,1644.13,2245.66,1507.87,451.71,207.17,118.27,86.92,52.98,105.87,68.38,38.83,47.79,195.31,37.75
